USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
702770,99999,SEWARD,US,AK,PAWD,60.117,-149.45,18,19450101,20051231
702790,26417,CAPE HINCHINBROOK,US,AK,,60.233,-146.65,56,19740101,19800622
702795,99999,HINCHINBROOK,US,AK,,60.4,-146.083,110,19730101,19740529
702910,26412,NORTHWAY AIRPORT,US,AK,PAOR,62.962,-141.988,522.1,19450101,20201030
702913,46402,DEVILS MOUNTAIN LODGE AIRPORT,US,AK,PABN,62.402,-142.995,877.8,20060101,20141001
702913,99999,NABESNA/DEVIL MTN,US,AK,PABN,62.4,-143,878,19920416,20051231
702915,26486,DUFFY'S TAVERN AIRPORT,US,AK,PADT,62.709,-143.981,668.1,20060101,20110701
702915,99999,SLANA AIRPORT,US,AK,PADT,62.7,-143.983,730,19740904,20051231
702923,26440,TANACROSS,US,AK,TSG,63.383,-143.333,472,19440522,19500901
702924,99999,TOK,US,AK,PATJ,63.317,-142.717,509,19771006,19850729
702960,26410,M.K.(MUDHOLE) SMITH ARPT,US,AK,PACV,60.489,-145.451,9.5,19420611,20201030
702965,99999,JOHNSTONE POINT,US,AK,,60.483,-146.6,14,19750401,19820729
702980,26445,YAKATAGA,US,AK,PACY,60.083,-142.5,11,19730315,19990706
702986,26557,BIG RIVER LAKE,US,AK,PALV,60.814,-152.297,18.3,20060101,20190808
702986,99999,BIG RIVER LAKE,US,AK,PALV,60.817,-152.3,12,19780823,20051231
702987,99999,NIGHTMUTE,US,AK,,60.467,-164.7,4,19840911,19850509
703050,25623,CAPE HEWENHAM LRRS AIRPORT,US,AK,PAEH,58.65,-162.067,164.9,20060101,20201029
703050,99999,CAPE NEWENHAM AFS,US,AK,PAEH,58.65,-162.067,161,19530726,20051231
703051,26521,HOLY CROSS AIRPORT,US,AK,PAHC,62.183,-159.767,6.1,20060101,20200911
703051,99999,HOLY CROSS,US,AK,PAHC,62.183,-159.783,21,20050929,20051231
703052,26652,KALSKAG AIRPORT,US,AK,PALG,61.536,-160.341,16.8,20060117,20200322
703052,99999,KALSKAG,US,AK,PALG,61.533,-160.333,17,20050929,20051130
703053,26654,RUSSIAN MISSION AIRPORT,US,AK,PARS,61.775,-161.319,15.5,20060101,20201030
703053,99999,RUSSIAN MISSION,US,AK,PARS,61.767,-161.317,15,19760512,20051231
703054,108,SCAMMON BAY AIRPORT,US,AK,PACM,61.85,-165.567,4.3,20050929,20201030
703054,99999,SCAMMON BAY,US,AK,PACM,61.845,-165.571,4.3,20080101,20081231
703055,109,MANOKOTAK AIRPORT,US,AK,PAMB,58.983,-159.05,15.9,20050929,20201030
703055,99999,MANOKOTAK,US,AK,PAMB,58.99,-159.05,16,20080101,20180322
703056,26635,MOUNTAIN VILLAGE AIRPORT,US,AK,PAMO,62.095,-163.682,102.7,20060101,20201030
703056,99999,MOUNTAIN VILLAGE,US,AK,PAMO,62.1,-163.683,15,20050929,20051231
703057,26653,TOKSOOK BAY AIRPORT,US,AK,PAOO,60.541,-165.087,18,20060101,20201030
703057,99999,TOOKSOK BAY,US,AK,PAOO,60.533,-165.083,21,20050929,20051231
703058,110,NELSON LAGOON AIRPORT,US,AK,PAOU,56.017,-161.167,4.3,20050930,20201030
703058,99999,NELSON LAGOON,US,AK,PAOU,56.01,-161.16,4,20080101,20180514
703059,99999,KING COVE,US,AK,PAVC,55.17,-162.27,47,20050930,20201029
703061,25521,IGIUGIG AIRPORT,US,AK,PAIG,59.324,-155.902,27.4,20060101,20201030
703061,99999,IGIUGIG,US,AK,PAIG,59.3,-155.9,27,20050929,20051231
703080,25713,ST PAUL ISLAND AIRPORT,US,AK,PASN,57.155,-170.222,10.7,19431105,20201017
703160,25624,COLD BAY AIRPORT,US,AK,PACD,55.221,-162.732,23.8,19420304,20201030
703165,25617,SAND POINT AIRPORT,US,AK,PASD,55.319,-160.521,6.4,20050101,20201030
703165,99999,SAND POINT,US,AK,,55.333,-160.5,6,19730107,20041231
703210,25513,DILLINGHAM AIRPORT,US,AK,PADL,59.05,-158.517,26.2,20060101,20201030
703210,99999,DILLINGHAM MUNI,US,AK,PADL,59.05,-158.517,29,19730101,20051231
703260,25503,KING SALMON AIRPORT,US,AK,PAKN,58.683,-156.656,20.4,19420110,20201030
703263,99999,KING SALMON,US,AK,,58.683,-156.683,17,19801002,19960630
